,0
accuracy,0.6965552903739061
precision,0.712705979498782
recall,0.9524484884171622
f1,0.8150886975477484
auc,0.6159116458426042
r2_score,0.20222268167037893
root_mean_squared_error,1.2574106743799607
median_absolute_error,0.7402725497199457
